time,voltage,rpm,direction
10.81,1.5,0,up
10.82,1.5,0,up
10.83,1.5,0,up
10.84,1.5,0,up
10.85,1.5,0,up
10.86,1.5,0,up
10.87,1.5,0,up
10.88,1.5,0,up
10.89,1.5,0,up
10.9,1.5,0,up
10.91,1.5,0,up
10.92,1.5,0,up
10.93,1.5,0,up
10.94,1.5,0,up
10.95,1.5,0,up
10.96,1.5,0,up
10.97,1.5,0,up
10.98,1.5,0,up
10.99,1.5,0,up
11,1.5,0,up
11.01,1.5,0,up
11.02,1.5,0,up
11.03,1.5,0,up
11.04,1.5,0,up
11.05,1.5,0,up
11.06,1.5,0,up
11.07,1.5,0,up
11.08,1.5,0,up
11.09,1.5,0,up
11.1,1.5,0,up
11.11,1.5,0,up
11.12,1.5,0,up
11.13,1.5,0,up
11.14,1.5,0,up
11.15,1.5,0,up
11.16,1.5,0,up
11.17,1.5,0,up
11.18,1.5,0,up
11.19,1.5,0,up
11.2,1.5,0,up
11.21,1.5,0,up
11.22,1.5,0,up
11.23,1.5,0,up
11.24,1.5,0,up
11.25,1.5,0,up
11.26,1.5,0,up
11.27,1.5,0,up
11.28,1.5,0,up
11.29,1.5,0,up
11.3,1.5,0,up
11.31,1.5,0,up
11.32,1.5,0,up
11.33,1.5,0,up
11.34,1.5,0,up
11.35,1.5,0,up
11.36,1.5,0,up
11.37,1.5,0,up
11.38,1.5,0,up
11.39,1.5,0,up
11.4,1.5,0,up
11.41,1.5,0,up
11.42,1.5,0,up
11.43,1.5,0,up
11.44,1.5,0,up
11.45,1.5,0,up
11.46,1.5,0,up
11.47,1.5,0,up
11.48,1.5,0,up
11.49,1.5,0,up
11.5,1.5,0,up
11.51,1.5,0,up
11.52,1.5,0,up
11.53,1.5,0,up
11.54,1.5,0,up
11.55,1.5,0,up
11.56,1.5,0,up
11.57,1.5,0,up
11.58,1.5,0,up
11.59,1.5,0,up
11.6,1.5,0,up
11.61,1.5,0,up
11.62,1.5,0,up
11.63,1.5,0,up
11.64,1.5,0,up
11.65,1.5,0,up
11.66,1.5,0,up
11.67,1.5,0,up
11.68,1.5,0,up
11.69,1.5,0,up
11.7,1.5,0,up
11.71,1.5,0,up
11.72,1.5,0,up
11.73,1.5,0,up
11.74,1.5,0,up
11.75,1.5,0,up
11.76,1.5,0,up
11.77,1.5,0,up
11.78,1.5,0,up
11.79,1.5,0,up
11.8,1.5,0,up
11.81,1.5,0,up
11.82,1.5,0,up
11.83,1.5,0,up
11.84,1.5,0,up
11.85,1.5,0,up
11.86,1.5,0,up
11.87,1.5,0,up
11.88,1.5,0,up
11.89,1.5,0,up
11.9,1.5,0,up
11.91,1.5,0,up
11.92,1.5,0,up
11.93,1.5,0,up
11.94,1.5,0,up
11.95,1.5,0,up
11.96,1.5,0,up
11.97,1.5,0,up
11.98,1.5,0,up
11.99,1.5,0,up
12,2,0,up
12.01,2,0,up
12.02,2,0,up
12.03,2,0,up
12.04,2,0,up
12.05,2,0,up
12.06,2,0,up
12.07,2,0,up
12.08,2,0,up
12.09,2,0,up
12.1,2,0,up
12.11,2,0,up
12.12,2,0,up
12.13,2,0,up
12.14,2,0,up
12.15,2,0,up
12.16,2,0,up
12.17,2,0,up
12.18,2,0,up
12.19,2,0,up
12.2,2,0,up
12.21,2,0,up
12.22,2,0,up
12.23,2,0,up
12.24,2,0,up
12.25,2,0,up
12.26,2,0,up
12.27,2,0,up
12.28,2,0,up
12.29,2,0,up
12.3,2,0,up
12.31,2,0,up
12.32,2,0,up
12.33,2,0,up
12.34,2,0,up
12.35,2,0,up
12.36,2,0,up
12.37,2,0,up
12.38,2,0,up
12.39,2,0,up
12.4,2,0,up
12.41,2,0,up
12.42,2,0,up
12.43,2,0,up
12.44,2,0,up
12.45,2,0,up
12.46,2,0,up
12.47,2,0,up
12.48,2,0,up
12.49,2,0,up
12.5,2,0,up
12.51,2,0,up
12.52,2,0,up
12.53,2,0,up
12.54,2,0,up
12.55,2,0,up
12.56,2,0,up
12.57,2,0,up
12.58,2,0,up
12.59,2,0,up
12.6,2,0,up
12.61,2,0,up
12.62,2,0,up
12.63,2,0,up
12.64,2,0,up
12.65,2,0,up
12.66,2,0,up
12.67,2,0,up
12.68,2,0,up
12.69,2,0,up
12.7,2,0,up
12.71,2,0,up
12.72,2,0,up
